Dimension,Modalites,Indicateurs,Chapitre_annuaire,Année,Valeurs
Région,GONTOUGO,Effectif de la population,Chap2.1_Population,2018,703303
Région / Groupe d'âges,GONTOUGO / 0 - 4 ans,Effectif de la population,Chap2.1_Population,2018,115796
Région / Groupe d'âges,GONTOUGO / 5 - 9 ans,Effectif de la population,Chap2.1_Population,2018,105600
Région / Groupe d'âges,GONTOUGO / 10 - 14 ans,Effectif de la population,Chap2.1_Population,2018,90952
Région / Groupe d'âges,GONTOUGO / 15 - 19 ans,Effectif de la population,Chap2.1_Population,2018,65893
Région / Groupe d'âges,GONTOUGO / 20 - 24 ans,Effectif de la population,Chap2.1_Population,2018,54484
Région / Groupe d'âges,GONTOUGO / 25 - 29 ans,Effectif de la population,Chap2.1_Population,2018,52788
Région / Groupe d'âges,GONTOUGO / 30 - 34 ans,Effectif de la population,Chap2.1_Population,2018,48278
Région / Groupe d'âges,GONTOUGO / 35 - 39 ans,Effectif de la population,Chap2.1_Population,2018,39075
Région / Groupe d'âges,GONTOUGO / 40 - 44 ans,Effectif de la population,Chap2.1_Population,2018,30344
Région / Groupe d'âges,GONTOUGO / 45 - 49 ans,Effectif de la population,Chap2.1_Population,2018,25074
Région / Groupe d'âges,GONTOUGO / 50  - 54 ans,Effectif de la population,Chap2.1_Population,2018,20760
Région / Groupe d'âges,GONTOUGO / 55 - 59 ans,Effectif de la population,Chap2.1_Population,2018,15247
Région / Groupe d'âges,GONTOUGO / 60 - 64 ans,Effectif de la population,Chap2.1_Population,2018,12801
Région / Groupe d'âges,GONTOUGO / 65 - 69 ans,Effectif de la population,Chap2.1_Population,2018,10135
Région / Groupe d'âges,GONTOUGO / 70 - 74 ans,Effectif de la population,Chap2.1_Population,2018,7077
Région / Groupe d'âges,GONTOUGO / 75 - 79 ans,Effectif de la population,Chap2.1_Population,2018,4378
Région / Groupe d'âges,GONTOUGO / 80 - 84 ans,Effectif de la population,Chap2.1_Population,2018,2737
Région / Groupe d'âges,GONTOUGO / 85 - 89 ans,Effectif de la population,Chap2.1_Population,2018,914
Région / Groupe d'âges,GONTOUGO / 90 - 94 ans,Effectif de la population,Chap2.1_Population,2018,494
Région / Groupe d'âges,GONTOUGO / 95 ans et plus,Effectif de la population,Chap2.1_Population,2018,476
Région / Groupe d'âges,GONTOUGO / Total_Groupe_Âges,Effectif de la population,Chap2.1_Population,2018,703303
Région / Sexe,GONTOUGO / Masculin,Effectif de la population,Chap2.1_Population,2018,355446
Région / Sexe,GONTOUGO / Féminin,Effectif de la population,Chap2.1_Population,2018,347857
Région / Sexe,GONTOUGO / Total,Effectif de la population,Chap2.1_Population,2018,703303
Région / Âges,GONTOUGO / 0 an,Effectif de la population,Chap2.1_Population,2018,25077
Région / Âges,GONTOUGO / 1 an,Effectif de la population,Chap2.1_Population,2018,21606
Région / Âges,GONTOUGO / 2 ans,Effectif de la population,Chap2.1_Population,2018,24435
Région / Âges,GONTOUGO / 3 ans,Effectif de la population,Chap2.1_Population,2018,22417
Région / Âges,GONTOUGO / 4 ans,Effectif de la population,Chap2.1_Population,2018,22261
Région / Âges,GONTOUGO / 5 ans,Effectif de la population,Chap2.1_Population,2018,22563
Région / Âges,GONTOUGO / 6 ans,Effectif de la population,Chap2.1_Population,2018,22418
Région / Âges,GONTOUGO / 7 ans,Effectif de la population,Chap2.1_Population,2018,21361
Région / Âges,GONTOUGO / 8 ans,Effectif de la population,Chap2.1_Population,2018,21071
Région / Âges,GONTOUGO / 9 ans,Effectif de la population,Chap2.1_Population,2018,18187
Région / Âges,GONTOUGO / 10 ans,Effectif de la population,Chap2.1_Population,2018,21381
Région / Âges,GONTOUGO / 11 ans,Effectif de la population,Chap2.1_Population,2018,16055
Région / Âges,GONTOUGO / 12 ans,Effectif de la population,Chap2.1_Population,2018,18886
Région / Âges,GONTOUGO / 13 ans,Effectif de la population,Chap2.1_Population,2018,16867
Région / Âges,GONTOUGO / 14 ans,Effectif de la population,Chap2.1_Population,2018,17763
Région / Âges,GONTOUGO / 15 ans,Effectif de la population,Chap2.1_Population,2018,17100
Région / Âges,GONTOUGO / 16 ans,Effectif de la population,Chap2.1_Population,2018,13402
Région / Âges,GONTOUGO / 17 ans,Effectif de la population,Chap2.1_Population,2018,11882
Région / Âges,GONTOUGO / 18 ans,Effectif de la population,Chap2.1_Population,2018,13311
Région / Âges,GONTOUGO / 19 ans,Effectif de la population,Chap2.1_Population,2018,10198
Région / Âges,GONTOUGO / 20 ans,Effectif de la population,Chap2.1_Population,2018,14137
Région / Âges,GONTOUGO / 21 ans,Effectif de la population,Chap2.1_Population,2018,9335
Région / Âges,GONTOUGO / 22 ans,Effectif de la population,Chap2.1_Population,2018,9659
Région / Âges,GONTOUGO / 23 ans,Effectif de la population,Chap2.1_Population,2018,10339
Région / Âges,GONTOUGO / 24 ans,Effectif de la population,Chap2.1_Population,2018,11014
Région / Âges,GONTOUGO / 25 ans,Effectif de la population,Chap2.1_Population,2018,13721
Région / Âges,GONTOUGO / 26 ans,Effectif de la population,Chap2.1_Population,2018,9918
Région / Âges,GONTOUGO / 27 ans,Effectif de la population,Chap2.1_Population,2018,10392
Région / Âges,GONTOUGO / 28 ans,Effectif de la population,Chap2.1_Population,2018,10180
Région / Âges,GONTOUGO / 29 ans,Effectif de la population,Chap2.1_Population,2018,8577
Région / Âges,GONTOUGO / 30 ans,Effectif de la population,Chap2.1_Population,2018,13132
Région / Âges,GONTOUGO / 31 ans,Effectif de la population,Chap2.1_Population,2018,7850
Région / Âges,GONTOUGO / 32 ans,Effectif de la population,Chap2.1_Population,2018,8726
Région / Âges,GONTOUGO / 33 ans,Effectif de la population,Chap2.1_Population,2018,8711
Région / Âges,GONTOUGO / 34 ans,Effectif de la population,Chap2.1_Population,2018,9859
Région / Âges,GONTOUGO / 35 ans,Effectif de la population,Chap2.1_Population,2018,10732
Région / Âges,GONTOUGO / 36 ans,Effectif de la population,Chap2.1_Population,2018,7699
Région / Âges,GONTOUGO / 37 ans,Effectif de la population,Chap2.1_Population,2018,6890
Région / Âges,GONTOUGO / 38 ans,Effectif de la population,Chap2.1_Population,2018,7338
Région / Âges,GONTOUGO / 39 ans,Effectif de la population,Chap2.1_Population,2018,6416
Région / Âges,GONTOUGO / 40 ans,Effectif de la population,Chap2.1_Population,2018,9147
Région / Âges,GONTOUGO / 41 ans,Effectif de la population,Chap2.1_Population,2018,5247
Région / Âges,GONTOUGO / 42 ans,Effectif de la population,Chap2.1_Population,2018,5080
Région / Âges,GONTOUGO / 43 ans,Effectif de la population,Chap2.1_Population,2018,5373
Région / Âges,GONTOUGO / 44 ans,Effectif de la population,Chap2.1_Population,2018,5497
Région / Âges,GONTOUGO / 45 ans,Effectif de la population,Chap2.1_Population,2018,6945
Région / Âges,GONTOUGO / 46 ans,Effectif de la population,Chap2.1_Population,2018,4746
Région / Âges,GONTOUGO / 47 ans,Effectif de la population,Chap2.1_Population,2018,4385
Région / Âges,GONTOUGO / 48 ans,Effectif de la population,Chap2.1_Population,2018,4341
Région / Âges,GONTOUGO / 49 ans,Effectif de la population,Chap2.1_Population,2018,4657
Région / Âges,GONTOUGO / 50 ans,Effectif de la population,Chap2.1_Population,2018,5820
Région / Âges,GONTOUGO / 51 ans,Effectif de la population,Chap2.1_Population,2018,3440
Région / Âges,GONTOUGO / 52 ans,Effectif de la population,Chap2.1_Population,2018,3354
Région / Âges,GONTOUGO / 53 ans,Effectif de la population,Chap2.1_Population,2018,3544
Région / Âges,GONTOUGO / 54 ans,Effectif de la population,Chap2.1_Population,2018,4602
Région / Âges,GONTOUGO / 55 ans,Effectif de la population,Chap2.1_Population,2018,3480
Région / Âges,GONTOUGO / 56 ans,Effectif de la population,Chap2.1_Population,2018,3241
Région / Âges,GONTOUGO / 57 ans,Effectif de la population,Chap2.1_Population,2018,2657
Région / Âges,GONTOUGO / 58 ans,Effectif de la population,Chap2.1_Population,2018,3034
Région / Âges,GONTOUGO / 59 ans,Effectif de la population,Chap2.1_Population,2018,2835
Région / Âges,GONTOUGO / 60 ans,Effectif de la population,Chap2.1_Population,2018,3566
Région / Âges,GONTOUGO / 61 ans,Effectif de la population,Chap2.1_Population,2018,2150
Région / Âges,GONTOUGO / 62 ans,Effectif de la population,Chap2.1_Population,2018,2089
Région / Âges,GONTOUGO / 63 ans,Effectif de la population,Chap2.1_Population,2018,2091
Région / Âges,GONTOUGO / 64 ans,Effectif de la population,Chap2.1_Population,2018,2905
Région / Âges,GONTOUGO / 65 ans,Effectif de la population,Chap2.1_Population,2018,2643
Région / Âges,GONTOUGO / 66 ans,Effectif de la population,Chap2.1_Population,2018,1957
Région / Âges,GONTOUGO / 67 ans,Effectif de la population,Chap2.1_Population,2018,1688
Région / Âges,GONTOUGO / 68 ans,Effectif de la population,Chap2.1_Population,2018,1900
Région / Âges,GONTOUGO / 69 ans,Effectif de la population,Chap2.1_Population,2018,1947
Région / Âges,GONTOUGO / 70 ans,Effectif de la population,Chap2.1_Population,2018,2086
Région / Âges,GONTOUGO / 71 ans,Effectif de la population,Chap2.1_Population,2018,1209
Région / Âges,GONTOUGO / 72 ans,Effectif de la population,Chap2.1_Population,2018,1063
Région / Âges,GONTOUGO / 73 ans,Effectif de la population,Chap2.1_Population,2018,1183
Région / Âges,GONTOUGO / 74 ans,Effectif de la population,Chap2.1_Population,2018,1536
Région / Âges,GONTOUGO / 75 ans,Effectif de la population,Chap2.1_Population,2018,1242
Région / Âges,GONTOUGO / 76 ans,Effectif de la population,Chap2.1_Population,2018,962
Région / Âges,GONTOUGO / 77 ans,Effectif de la population,Chap2.1_Population,2018,681
Région / Âges,GONTOUGO / 78 ans,Effectif de la population,Chap2.1_Population,2018,819
Région / Âges,GONTOUGO / 79 ans,Effectif de la population,Chap2.1_Population,2018,674
Région / Âges,GONTOUGO / 80 ans,Effectif de la population,Chap2.1_Population,2018,992
Région / Âges,GONTOUGO / 81 ans,Effectif de la population,Chap2.1_Population,2018,385
Région / Âges,GONTOUGO / 82 ans,Effectif de la population,Chap2.1_Population,2018,342
Région / Âges,GONTOUGO / 83 ans,Effectif de la population,Chap2.1_Population,2018,422
Région / Âges,GONTOUGO / 84 ans,Effectif de la population,Chap2.1_Population,2018,596
Région / Âges,GONTOUGO / 85 ans,Effectif de la population,Chap2.1_Population,2018,308
Région / Âges,GONTOUGO / 86 ans,Effectif de la population,Chap2.1_Population,2018,178
Région / Âges,GONTOUGO / 87 ans,Effectif de la population,Chap2.1_Population,2018,148
Région / Âges,GONTOUGO / 88 ans,Effectif de la population,Chap2.1_Population,2018,141
Région / Âges,GONTOUGO / 89 ans,Effectif de la population,Chap2.1_Population,2018,139
Région / Âges,GONTOUGO / 90 ans,Effectif de la population,Chap2.1_Population,2018,191
Région / Âges,GONTOUGO / 91 ans,Effectif de la population,Chap2.1_Population,2018,75
Région / Âges,GONTOUGO / 92 ans,Effectif de la population,Chap2.1_Population,2018,37
Région / Âges,GONTOUGO / 93 ans,Effectif de la population,Chap2.1_Population,2018,66
Région / Âges,GONTOUGO / 94 ans,Effectif de la population,Chap2.1_Population,2018,125
Région / Âges,GONTOUGO / 95 ans et plus,Effectif de la population,Chap2.1_Population,2018,476
Région / Âges,GONTOUGO / Total,Effectif de la population,Chap2.1_Population,2018,703303
Région / Groupe d'âges / Sexe,GONTOUGO / 0 - 4 ans / Masculin,Effectif de la population,Chap2.1_Population,2018,60 231
Région / Groupe d'âges / Sexe,GONTOUGO / 0 - 4 ans / Féminin,Effectif de la population,Chap2.1_Population,2018,55 565
Région / Groupe d'âges / Sexe,GONTOUGO / 0 - 4 ans / Total,Effectif de la population,Chap2.1_Population,2018,115 796
Région / Groupe d'âges / Sexe,GONTOUGO / 5 - 9 ans / Masculin,Effectif de la population,Chap2.1_Population,2018,54 854
Région / Groupe d'âges / Sexe,GONTOUGO / 5 - 9 ans / Féminin,Effectif de la population,Chap2.1_Population,2018,50 746
Région / Groupe d'âges / Sexe,GONTOUGO / 5 - 9 ans / Total,Effectif de la population,Chap2.1_Population,2018,105 600
Région / Groupe d'âges / Sexe,GONTOUGO / 10 - 14 ans / Masculin,Effectif de la population,Chap2.1_Population,2018,49818
Région / Groupe d'âges / Sexe,GONTOUGO / 10 - 14 ans / Féminin,Effectif de la population,Chap2.1_Population,2018,41134
Région / Groupe d'âges / Sexe,GONTOUGO / 10 - 14 ans / Total,Effectif de la population,Chap2.1_Population,2018,90952
Région / Groupe d'âges / Sexe,GONTOUGO / 15 - 19 ans / Masculin,Effectif de la population,Chap2.1_Population,2018,35319
Région / Groupe d'âges / Sexe,GONTOUGO / 15 - 19 ans / Féminin,Effectif de la population,Chap2.1_Population,2018,30574
Région / Groupe d'âges / Sexe,GONTOUGO / 15 - 19 ans / Total,Effectif de la population,Chap2.1_Population,2018,65893
Région / Groupe d'âges / Sexe,GONTOUGO / 20 - 24 ans / Masculin,Effectif de la population,Chap2.1_Population,2018,26080
Région / Groupe d'âges / Sexe,GONTOUGO / 20 - 24 ans / Féminin,Effectif de la population,Chap2.1_Population,2018,28404
Région / Groupe d'âges / Sexe,GONTOUGO / 20 - 24 ans / Total,Effectif de la population,Chap2.1_Population,2018,54484
Région / Groupe d'âges / Sexe,GONTOUGO / 25 - 29 ans / Masculin,Effectif de la population,Chap2.1_Population,2018,24808
Région / Groupe d'âges / Sexe,GONTOUGO / 25 - 29 ans / Féminin,Effectif de la population,Chap2.1_Population,2018,27980
Région / Groupe d'âges / Sexe,GONTOUGO / 25 - 29 ans / Total,Effectif de la population,Chap2.1_Population,2018,52788
Région / Groupe d'âges / Sexe,GONTOUGO / 30 - 34 ans / Masculin,Effectif de la population,Chap2.1_Population,2018,24006
Région / Groupe d'âges / Sexe,GONTOUGO / 30 - 34 ans / Féminin,Effectif de la population,Chap2.1_Population,2018,24272
Région / Groupe d'âges / Sexe,GONTOUGO / 30 - 34 ans / Total,Effectif de la population,Chap2.1_Population,2018,48278
Région / Groupe d'âges / Sexe,GONTOUGO / 35 - 39 ans / Masculin,Effectif de la population,Chap2.1_Population,2018,20272
Région / Groupe d'âges / Sexe,GONTOUGO / 35 - 39 ans / Féminin,Effectif de la population,Chap2.1_Population,2018,18803
Région / Groupe d'âges / Sexe,GONTOUGO / 35 - 39 ans / Total,Effectif de la population,Chap2.1_Population,2018,39075
Région / Groupe d'âges / Sexe,GONTOUGO / 40 - 44 ans / Masculin,Effectif de la population,Chap2.1_Population,2018,15513
Région / Groupe d'âges / Sexe,GONTOUGO / 40 - 44 ans / Féminin,Effectif de la population,Chap2.1_Population,2018,14831
Région / Groupe d'âges / Sexe,GONTOUGO / 40 - 44 ans / Total,Effectif de la population,Chap2.1_Population,2018,30344
Région / Groupe d'âges / Sexe,GONTOUGO / 45 - 49 ans / Masculin,Effectif de la population,Chap2.1_Population,2018,11833
Région / Groupe d'âges / Sexe,GONTOUGO / 45 - 49 ans / Féminin,Effectif de la population,Chap2.1_Population,2018,13241
Région / Groupe d'âges / Sexe,GONTOUGO / 45 - 49 ans / Total,Effectif de la population,Chap2.1_Population,2018,25074
Région / Groupe d'âges / Sexe,GONTOUGO / 50  - 54 ans / Masculin,Effectif de la population,Chap2.1_Population,2018,9282
Région / Groupe d'âges / Sexe,GONTOUGO / 50  - 54 ans / Féminin,Effectif de la population,Chap2.1_Population,2018,11478
